ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
228,3-105-165/48นบ,วงษ์พาณิชย์ สาขานนทบุรี,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 79/23,3,วัดไทรม้า,รัตนาธิเบศร์,บางรักน้อย,เมืองนนทบุรี,นนทบุรี,11000,,23000000,20,105
229,3-105-19/47นบ,บริษัท อุดมสุข เท็กซ์ไทล์ จำกัด,คัดแยกวัสดุไม่ใช้แล้ว เช่น เศษผ้า ด้าย สำลี นุ่น กระสอบ กระดาษ เศษเหล็ก เศษพลาสติก เพื่อจำหน่าย นำเข้า ส่งออก,เลขที่ 18/18-19-20,6,-,-,ละหาร,บางบัวทอง,นนทบุรี,11110,02-9442225,2740000,14,100
230,3-105-2/46นบ,บริษัท เค.รีไซเคิล แอนด์ เซอร์วิส จำกัด,คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมเพื่อนำมารีไซเคิล,เลขที่ 14/25,6,แจ้งวัฒนะ-ปากเกร็ด 3,แจ้งวัฒนะ,บางพูด,ปากเกร็ด,นนทบุรี,11120,0 2963 2772-5,7702000,60,5
231,3-105-3/46นบ,บริษัท โลหะไทยสเตนเลส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 38/3,6,-,นครอินทร์,บางขุนกอง,บางกรวย,นนทบุรี,11130,0 2913 2197-9,141000000,60,1090
232,3-105-30/47นบ,บริษัท ธนานุกูลชัย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก  อัดเศษโลหะ  ตัด  พับ  หรือม้วนโลหะ,เลขที่ 187/48,3,ร่มโพธิ์ทอง,บางกรวย-ไทรน้อย,บางรักพัฒนา,บางบัวทอง,นนทบุรี,11110,0-2920-5144,1400000,7,45
233,3-105-31/47นบ,บริษัท เอส.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,เลขที่ 57/11,2,,เลี่ยงเมืองนนทบุรี,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,11000,0-2969-0001-2,9000000,11,421
234,3-105-32/47นบ,ร้านสนธยา,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 29/47/1,9,งามวงศ์วาน 9,งามวงศ์วาน,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,0 2952 7273,2820000,10,2
235,3-105-32/49นบ,นิตยารีไซเคิล,คัดแยกวัสดุเหลือใช้จากโรงงาน เช่น กระดาษ พลาสติก โลหะ,เลขที่ 1/4,13, -,ตลิ่งชัน-สุพรรณบุรี,บางบัวทอง,บางบัวทอง,นนทบุรี,11110,0 5802 9536,3000000,25,111.1
236,3-105-32/53นบ,ห้างหุ้นส่วนจำกัด แสงไพศาลค้ากระดาษ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 12, 14",-,สามัคคี 8,สามัคคี,ท่าทราย,เมืองนนทบุรี,นนทบุรี,11000,,4000000,20,215
237,3-105-33/53นบ,ห้างหุ้นส่วนจำกัด แสงไพศาลค้ากระดาษ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 11,13",-,สามัคคี 11,สามัคคี,ท่าทราย,เมืองนนทบุรี,นนทบุรี,11000,,11000000,30,385.5
238,3-105-39/47นบ,พัฒนารีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ ,3,สนั่น,เมน 3,บ้านใหม่,บางใหญ่,นนทบุรี,11140,,800000,8,0
239,3-105-4/46นบ,นายวิเชียร จันทราพานิชกุล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และหลอมหล่อโลหะ,เลขที่ 4/5,3,กันตนา,ตลิ่งชัน-สุพรรณบุรี,บางใหญ่,บางใหญ่,นนทบุรี,11140,,6100000,14,393.6
240,3-105-47/59นบ,บริษัท ล้อเรืองชัย เมททอล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 27/14,9,,บางบัวทอง-สุพรรณบุรี,ละหาร,บางบัวทอง,นนทบุรี,11110,029255794-7,19000000,21,269
241,3-105-52/47นบ,บริษัท 99 อินเตอร์ คาร์ แอนด์ รูม จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะและกระดาษ,เลขที่ 11/1,4,-,จันทร์ทองเอี่ยม,บางแม่นาง,บางใหญ่,นนทบุรี,11140,,4700000,20,7
242,3-105-60/47นบ,บริษัท ลูกอัด และเศษเหล็กไทย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ตามประกาศกระทรวงอุตสาหกรรม  ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ  พลาสติก  และโลหะต่าง ๆ,เลขที่ 27/6,9,โรงเรียนแสงประทีป,ตลิ่งชัน-สุพรรณบุรี,ละหาร,บางบัวทอง,นนทบุรี,11110,0 2925 5794,70000000,40,1198
243,3-105-62/47นบ,นายเฉลียว เนตรขำ,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชี,เลขที่ 56/17,3,-,-,คลองพระอุดม,ปากเกร็ด,นนทบุรี,11120,,840000,10,5
244,3-105-69/47นบ,ห้างหุ้นส่วนจำกัด ดวงพร รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541),เลขที่ 10,,สามัคคี 7,สามัคคี,ท่าทราย,เมืองนนทบุรี,นนทบุรี,11000,0 2952 4939,1200000,9,0
245,3-105-73/53นบ,ทรัพย์เจริญเซียงกง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก อัดเศษกระดาษ อัดโลหะ,เลขที่ 94/8,7,-,บางบัวทอง-สุพรรณบุรี,ละหาร,บางบัวทอง,นนทบุรี,11110,02 9833600-1,1000000,10,133
246,3-105-78/53นบ,บริษัท โลหะไทยสยาม จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 48/3,1,กร่างทอง,ไทรน้อย-ลาดบัวหลวง,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,11150,02 5989275,7000000,9,146
247,3-106-11/48นบ,บริษัท อีสเทิร์น รีไซเคิล แอนด์ เซอร์วิส จำกัด,รีไซเคิลถัง  เศษผ้า  ถุงมือ  เศษยางรถยนต์  นำน้ำมันหล่อลื่นใช้แล้วมาทำน้ำมันหยอดทิ้ง  น้ำมันทาไม้แบบ  และทำอิฐประสาน  อิฐปูพื้น  อิฐบล็อคจากวัสดุที่ไม่ใช้แล้ว,เลขที่ 10/2,10,วัดสโมสร,บางเลน-ลาดหลุมแก้ว,ไทรใหญ่,ไทรน้อย,นนทบุรี,11150,089-1289404,0,3,33
248,3-106-21/56นบ,บริษัท นีโอ เอนเนอจี แมเนจเมนท์ จำกัด,ผลิตน้ำมันสังเคราะห์ (เชื้อเพลิงทดแทน) จากพลาสติกที่ใช้แล้วด้วยกระบวนการ Pyrolysis,เลขที่ 48,2,,ไทรน้อย-บางเลน,คลองขวาง,ไทรน้อย,นนทบุรี,11150,29735188,55000000,25,1696.98
249,จ3-105-184/50นบ,บริษัท อินฟินิตี้ เปเปอร์ จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น กระดาษ,พลาสติก,โลหะทุกชนิด,แก้ว,ไม้",เลขที่ 69/149,1,พระแม่การุณย์,ติวานนท์,บ้านใหม่,ปากเกร็ด,นนทบุรี,11120,02 5822645-7,18500000,37,150
250,จ3-105-32/51นบ,บริษัท รุ่งแสงไทย รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นอันตราย บดพลาสติก อัดเศษกระดาษและโลหะ,เลขที่ 13/2,14,-,บางใหญ่-บางคูรัด,บางม่วง,บางใหญ่,นนทบุรี,11140,0 27504 4461-2,29000000,11,429.35
251,จ3-105-63/50นบ,บริษัท ชั่งเซ้งจั่น จำกัด,คัดแยกสิ่งปฏิกูล หรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 95/2,6,ศิริชัย 1,กรุงเทพ-นนทบุรี,บางเขน,เมืองนนทบุรี,นนทบุรี,11000,,6000000,9,152
252,จ3-105-71/51นบ,สมเกียรติ,คัดแยกเศษวัสดุไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษโลหะและกระดาษ,เลขที่ 12/6,2,วัดสะพานสูง,ทางหลวงหมายเลข 345,คลองข่อย,ปากเกร็ด,นนทบุรี,11120,035 218977-8,36000000,9,146
253,3-101-1/35ปท,บริษัท สวนอุตสาหกรรมบางกะดี จำกัด,บำบัดน้ำเสียรวม,เลขที่ 159,5,,ติวานนท์,บางกะดี,เมืองปทุมธานี,ปทุมธานี,12000,0-2501-1364,46000000,21,461.67
254,3-101-1/52ปท,บริษัท ไก่สดเซนทาโก จำกัด,ระบบบำบัดน้ำเสียรวม,เลขที่ 54,5,-,พหลโยธิน กิโลเมตรที่ 33,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,02 5168811-5,0,8,123.5
255,3-101-1/54ปท,บริษัท โออิชิ เทรดดิ้ง จำกัด,"โรงงานปรับคุณภาพของเสียรวม ได้ 3,000 ลูกบาศก์เมตรต่อวัน",เลขที่ 60/1120,19,-,พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,02 7172244,0,0,60
256,3-101-2/35ปท,บริษัท นวนคร จำกัด,"บำบัดน้ำเสียรวม ได้ 26,000 ลูกบาศก์เมตร/วัน",เลขที่ 999,20,,พหลโธยิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,5291903,83000000,14,2124.2
257,3-101-2/58ปท,บริษัท ไทยสแตนเลย์การไฟฟ้า จำกัด (มหาชน),ระบบบำบัดน้ำเสียรวม,เลขที่ 29/3,1,,บางพูน-รังสิต,บ้านกลาง,เมืองปทุมธานี,ปทุมธานี,12000,,93479230,2,157.56
258,3-101-3/48ปท,บริษัท จอมธนา จำกัด,บำบัดน้ำเสียรวม,เลขที่ 59/1,7,-,ปทุมธานี-ลาดหลุมแก้ว,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,12140,0 2979 4800,188000000,3,44.04
259,3-101-5/47ปท,บริษัท ครอมัลลอย (ประเทศไทย) จำกัด,ระบบบำบัดน้ำเสียรวม,เลขที่ 25,5,-,พหลโยธิน-ลำลูกกา,บึงคำพร้อย,ลำลูกกา,ปทุมธานี,12150,0 2985 0800,6767505,256,102.5
260,3-105-1/45ปท,บริษัท ไทย รีไซเคิล แอนด์ เซอร์วิส จำกัด,คัดแยกเศษวัสดุเหลือใช้ เศษกระดาษ เศษเหล็ก พลาสติก ทองแดง,เลขที่ 2/4,,,,บางพูน,เมืองปทุมธานี,ปทุมธานี,12000,02-9589113,11080000,10,144
261,3-105-1/46ปท,ห้างหุ้นส่วนจำกัด เอกสมพร,คัดแยกเศษวัสดุ โดยไม่ฝังกลบ,เลขที่ 19/7,5,,เลียบคลองรังสิต,บางพูน,เมืองปทุมธานี,ปทุมธานี,12000,0-2567-0730,67860000,19,97
262,3-105-100/49ปท,บริษัท เจริญวัฒน์ รีไซเคิล แอนด์ เวสต์ แมเนจเม้นท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ และบดย่อยเศษพลาสติก,เลขที่ 9/4,16, -,เลียบคลองเจ็ด (ตะวันออก),ลำลูกกา,ลำลูกกา,ปทุมธานี,12150,0 2510 6587,3500000,10,170
263,3-105-105/48ปท,บริษัท เทพประทานพรคอนสตัคชั่น แอนด์ รีไซเคิล จำกัด,นำเศษผ้าปนเปื้อน  กากตะกอนน้ำมัน  และดินปนเปื้อนน้ำมัน  มาทำเป็นเชื้อเพลิงผสม,เลขที่ 31/13,2, -, -,คลองควาย,สามโคก,ปทุมธานี,12160,,3000000,10,155
264,3-105-106/47ปท,นิสา,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 34/6,1,ผาไทผาเมือง,พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,-,800000,7,0
265,3-105-109/47ปท,ห้างหุ้นส่วนจำกัด วรินทรรีไซเคิล,คัดแยกวัสดุที่ไม่ได้ใช้แล้ว ที่ไม่เป็นอันตรายจาการผลิตรวมทั้งซื้อและจำหน่ายหลังการคัดแยก,เลขที่ 9/9,5,-,เลียบคลองสี่,คลองสี่,คลองหลวง,ปทุมธานี,12120,-,200000,4,14
266,3-105-11/47ปท,ห้างหุ้นส่วนจำกัด เจ.พี.เอ็น.รีไซเคิล,คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ บดย่อยเศษพลาสติก ทำเม็ดพลาสติกจากเศษพลาสติกเก่า และอัดเศษกระดาษ,เลขที่ 9/9,18,-,พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,,4300000,10,75
267,3-105-11/58ปท,บริษัท ต.นิยมไทย รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 50/8,4,,,เชียงรากใหญ่,สามโคก,ปทุมธานี,12160,02-975-1114,18500000,15,185
268,3-105-124/48ปท,บริษัท โสภณพลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย  บดพลาสติก  ทำเม็ดพลาสติกเกรดบี,เลขที่ 35/5,4, -, -,ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,12140,,18100000,10,160
269,3-105-127/48ปท,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด,"คัดแยกกระดาษและอัดกระดาษเป็นแท่ง, ก้อน",เลขที่ 25/5,10,-,เลียบคลองสาม (ตะวันตก),คลองสาม,คลองหลวง,ปทุมธานี,12120,0 2726 2313,36500000,65,260
270,3-105-13/59ปท,บริษัท วงศ์ทอง สตีลไวร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 9/9,6,,,คลองเจ็ด,คลองหลวง,ปทุมธานี,12120,08 1823 2198,6000000,10,144
271,3-105-133/47ปท,ห้างหุ้นส่วนจำกัด สมชายการค้ารีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติค โฟม โลหะ ไม้ และบดย่อยพลาสติก,เลขที่ 56/62,7,-,-,คลองสอง,คลองหลวง,ปทุมธานี,12120,,2020000,10,46
272,3-105-14/53ปท,ห้างหุ้นส่วนจำกัด จักร์ณรงค์ ซัพพลาย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 18/10,14,เอราวัณ 22,เลียบคลองสอง,คลองสอง,คลองหลวง,ปทุมธานี,12120,081  9130220,800000,5,95
273,3-105-15/50ปท,บริษัท พาร์ แอนด์ จี คอมเมอร์เชียล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย  อัดเศษโลหะ  นำน้ำมันหล่อลื่นที่ใช้แล้วหรือสารทำละลาย มาผ่านกรรมวิธีทางอุตสาหกรรม  เพื่อผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ น้ำมันกันสนิม ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ รีไซเคิลไส้กรองน้ำมัน ทำเชื้อเพลิงผสม (Blending) จากเศษผ้าปนเปื้อนน้ำมัน วัสดุดูดซับกากตะกอนน้ำมัน เศษไส้กรองน้ำมัน,เลขที่ 37/47,15,,,คลองสอง,คลองหลวง,ปทุมธานี,12120,,8000000,5,115
274,3-105-15/59ปท,บริษัท  มิชชั่นไลน์รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 21/21,6,,,หลักหก,เมืองปทุมธานี,ปทุมธานี,12000,089-8113240,6000000,10,67
275,3-105-16/55ปท,บริษัท ศิริรัตน์ โลหะกิจ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,เลขที่ 99/9,7,-,-,บางหลวง,เมืองปทุมธานี,ปทุมธานี,12000,02-978-9871,4400000,10,200
276,3-105-16/58ปท,บริษัท อุดมสุข พลาสติก รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แแล้วที่ไม่เป็นของเสียอันตราย หลอมพลาสติกเป็นเม็ด,เลขที่ 87,7,,,เชียงรากใหญ่,สามโคก,ปทุมธานี,12160,08 1855 0212,1500000,0,67.5
277,3-105-163/48ปท,ห้างหุ้นส่วนจำกัด ชินฟา,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541)  และซ่อมแซม  ดัดแปลง  ปรับปรุงเครื่องใช้ไฟฟ้าอิเล็กทรอนิกส์  อัดเศษโลหะ  อัดเศษกระดาษ  และบดย่อยพลาสติก,เลขที่ 16/2,2, -,ธัญญบุรี-วังน้อย,คลองเจ็ด,คลองหลวง,ปทุมธานี,12120,,4850000,10,95
278,3-105-164/48ปท,บริษัท ลี้ชั่งเฮงจั่นค้าเหล็ก จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ในภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะและเศษกระดาษ,เลขที่ 128,4, -,รังสิต-ปทุม,สวนพริกไทย,เมืองปทุมธานี,ปทุมธานี,12000,,12500000,14,307
279,3-105-18/58ปท,บริษัท อันดามัน สตีล (1998) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ โฉนดที่ดินเลขที่ 27446, 59008",1,,,คลองเจ็ด,คลองหลวง,ปทุมธานี,12120,,41220000,24,366
280,3-105-2/46ปท,บริษัท สยามโพลี (ไทยแลนด์) จำกัด,นำเศษโลหะ  เศษชิ้นส่วนอิเล็กทรอนิกส์ที่เป็นโลหะ  ทองแดง  ทองเหลือง  เศษพลาสติก  ที่ปนเปื้อนคราบน้ำมันติดอยู่บนพื้นผิว  มาผ่านกรรมวิธีทางอุตสาหกรรม  โดยการอบให้แห้ง  เพื่อนำกลับมาใช้ประโยชน์ใหม่,เลขที่ 48,13,-,-,คลองสอง,คลองหลวง,ปทุมธานี,12120,7489885,2500000,2,397.5
281,3-105-21/48ปท,บริษัท บางกอก รีไซเคิล (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,เลขที่ 28/10,13,นวลจันทร์,-,คลองสอง,คลองหลวง,ปทุมธานี,12120,,3000000,12,0
282,3-105-21/58ปท,บริษัท เจดับบลิว เมทัล รีคัฟเเวอรี อินเตอร์กรุ๊ป จำกัด,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 39/25,5,,,คลองสี่,คลองหลวง,ปทุมธานี,12120,,6000000,10,65
283,3-105-22/58ปท,นางพรฤดี พิรุณวัฒนา,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 10/14,6,,,คลองสี่,คลองหลวง,ปทุมธานี,12130,,6000000,10,65
284,3-105-23/59ปท,นางวิไล  ประชาราษฎร์นิยม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ โฉนดที่ดินเลขที่ 9159,9160",14,,,คลองห้า,คลองหลวง,ปทุมธานี,67170,,11900000,10,134
285,3-105-25/58ปท,บริษัท รัตนทรัพย์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 65/3,4,,,บางกะดี,เมืองปทุมธานี,ปทุมธานี,12000,080-224-9422,8000000,10,212
286,3-105-26/48ปท,ห้างหุ้นส่วนจำกัด กัน รีไซเคิล,"คัดแยกเศษวัสดุเหลือใช้ เช่น กระดาษ, พลาสติก, โลหะและบดพลาสติก",เลขที่ 23/56,6,-,-,คลองสี่,คลองหลวง,ปทุมธานี,12120,,4200000,20,131
287,3-105-26/56ปท,บริษัท ดับเบิ้ลยูเอ็น แอสโซซิเอท จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 55/21,4,-,,บึงคำพร้อย,ลำลูกกา,ปทุมธานี,12150,0-21599726-8,16205000,11,95
288,3-105-27/53ปท,บริษัท ภูริชกานต์ โพลีเมอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยและขัดผิวพลาสติกที่เคลือบสี เคลือบโครเมี่ยม,เลขที่ 4/9,14,-,-,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,,4500000,12,122
289,3-105-27/54ปท,บริษัท พรประเสริฐ รีบิ้ว จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นขยะอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,เลขที่ 5/6,6,-,ปทุม-ลาดหลุมแก้ว,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,12140,,10700000,6,106
290,3-105-27/56ปท,บริษัท ปัณณธร โลหะกิจ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 52/2,8,-,-,สวนพริกไทย,เมืองปทุมธานี,ปทุมธานี,12000,,12000000,15,373
291,3-105-28/58ปท,บริษัท บีพีเอส รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 30/2,14,,,บึงคำพร้อย,ลำลูกกา,ปทุมธานี,12150,,10540000,10,460
292,3-105-31/57ปท,บริษัท ซันสตีลเซอร์วิสเซส จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 50/8,6,,,บ้านปทุม,สามโคก,ปทุมธานี,12160,081 699 6972,9000000,15,241
293,3-105-31/59ปท,นางสาวเรณู  อำไพ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 155541,12,,,คลองสาม,คลองหลวง,ปทุมธานี,12120,,3000000,4,83
294,3-105-32/57ปท,ห้างหุ้นส่วนจำกัด พี.ที.เอส.เศษเหล็กไทย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 29,14,,,คลองสาม,คลองหลวง,ปทุมธานี,12120,,6000000,10,60
295,3-105-33/58ปท,บริษัท ฟ้าสยาม อินเตอร์สแครป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 56/6,1,,,คลองเจ็ด,คลองหลวง,ปทุมธานี,12120,,29000000,12,302
