orgth,orgen,telephone,address,website,healtharea,agency,province,district,area,npsts,pooledsaliva,pooledswab
โรงพยาบาลบ้านหมี่,Banmi Hospital,0-3647-2051-6,139 ถ.ประชาอุทิศ ต.บ้านหมี่ อ.บ้านหมี่ จ.ลพบุรี 15110,http://banmihospital.moph.go.th/,เขต 4,ภาครัฐ,ลพบุรี,บ้านหมี่,ต่างจังหวัด,เปิดตรวจแล้ว,,
สำนักงานป้องกันควบคุมโรคที่ 4 สระบุรี สาขาย่อยที่ 2,"The Office of Disease Prevention and Control 4 Saraburi, Simummuang Market Branch",0-3623-9302,,https://ddc.moph.go.th/odpc4/,เขต 4,ภาครัฐ,ปทุมธานี,ลำลูกกา,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
ศูนย์วิทยาศาสตร์การแพทย์ที่ 5 สมุทรสงคราม,Regional Medical Sciences Center 5 Samut Songkhram,0-3471-1945-8,ศูนย์วิทยาศาสตร์การแพทย์ที่ 5 สมุทรสงคราม 136 หมู่ 4 ถนนเอกชัย ตำบลลาดใหญ่ อำเภอเมือง จังหวัดสมุทรสงคราม 75000,http://rmsc5.dmsc.moph.go.th/,เขต 5,ภาครัฐ,สมุทรสงคราม,เมืองสมุทรสงคราม,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลนครปฐม,Nakhon Pathom Hospital,0-3421-3606,โรงพยาบาลนครปฐม ตึกรวมเมฆ ชั้น3 ห้องอณูชีววิทยา 196 ถ.เทศา ต.พระปฐมเจดีย์ อ.เมือง จ.นครปฐม 73000,https://www.nkpthospital.go.th/,เขต 5,ภาครัฐ,นครปฐม,เมืองนครปฐม,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเจ้าพระยายมราช สุพรรณบุรี,Chao Phraya Yommarat Hospital,0-3551-4999,950 ถ.พระพันวษา ต.ท่าพี่เลี้ยง อ.เมือง จ.สุพรรณบุรี 72000,https://www.yrh.moph.go.th/,เขต 5,ภาครัฐ,สุพรรณบุรี,เมืองสุพรรณบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลศุภมิตร สุพรรณบุรี,Supamitr General Hospital Suphunburi,0-3552-3777,เลขที่ 76 ถ.เณรแก้ว ต.ท่าพี่เลี้ยง อ.เมือง จ.สุพรรณบุรี 72000,https://www.supamitrhospital.com/,เขต 5,เอกชน,สุพรรณบุรี,เมืองสุพรรณบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
โรงพยาบาลบ้านแพ้ว (องค์การมหาชน),Banphaeo General Hospital,0-3441-9555-6,ห้องปฏิบัติการกลาง โรงพยาบาลบ้านแพ้ว 198 หมู่ 1 ถ.พระประโทน-บ้านแพ้ว ต.บ้านแพ้ว อ.บ้านแพ้ว จ.สมุทรสาคร 74120,https://www.bphosp.or.th/,เขต 5,ภาครัฐ,สมุทรสาคร,บ้านแพ้ว,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลมหาชัย,Mahachai Hospital,0-3442-4990,927/43 ค ถ.เศรษฐกิจ 1 ต.มหาชัย อ.เมือง จ.สมุทรสาคร 74000,https://www.mahachaihospital.com/,เขต 5,เอกชน,สมุทรสาคร,เมืองสมุทรสาคร,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลหัวหิน,Hua-Hin Hospital,0-3252-3000,กลุ่มงานเทคนิคการแพทย์ 30/2 ต.หัวหิน อ.หัวหิน จ.ประจวบ 77110,https://www.huahinhospital.go.th/,เขต 5,ภาครัฐ,ประจวบคีรีขันธ์,หัวหิน,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสมุทรสาคร,Samutsakhon Hospital,0-3442-9333,1500 ถ.เอกชัย ต.มหาชัย อ.เมือง จ.สมุทรสาคร,http://smkh.moph.go.th/,เขต 5,ภาครัฐ,สมุทรสาคร,เมืองสมุทรสาคร,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล (สมุทรสาคร),Vichaivej International Hospital Samutsakhon,0-3441-0700-6,93/256 ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร,https://www.vichaivej.com/samutsakhon/,เขต 5,เอกชน,สมุทรสาคร,เมืองสมุทรสาคร,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเอกชัย,Ekachai Hospital,0-3441-7999,99/9 หมู่ 4 ต.โคกขาม อ.เมือง จ.สมุทรสาคร 74000,https://www.ekachaihospital.com/th/,เขต 5,เอกชน,สมุทรสาคร,เมืองสมุทรสาคร,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 5 ราชบุรี,The Office of Disease Prevention and Control 5 Ratchaburi,0-3231-0761-3,123/202 ถนนเพชรเกษม ต.หน้าเมือง อ.เมือง จ.ราชบุรี 70000,http://odpc5.ddc.moph.go.th/m1/,เขต 5,ภาครัฐ,ราชบุรี,เมืองราชบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลพหลพลพยุหเสนา,Paholpolpayuhasena Hospital,0-3458-7800,กลุ่มงานเทคนิคการแพทย์ โรงพยาบาลพหลพลพยุหเสนา เลขที่ 572 ถนนแสงชูโต ตำบลปากแพรก อำเภอเมือง จังหวัดกาญจนบุรี 71000,http://www4.phahol.go.th/,เขต 5,ภาครัฐ,กาญจนบุรี,เมืองกาญจนบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลประจวบคีรีขันธ์,Prachuap Khiri Khan Hospital,0-3260-1060-4,237 โรงพยาบาลประจวบคีรีขันธ์ ถนนพิทักษ์ชาติ ต.ประจวบคีรีขันธ์ อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77000,http://pkhospital.go.th/,เขต 5,ภาครัฐ,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลพระจอมเกล้า,Prajomklao Phetchaburi Hospital,0-3270-9999,กลุ่มงานเทคนิคการแพทย์ ชั้น3 ตึกเพชรานุกูล โรงพยาบาลพระจอมเกล้า จังหวัดเพชรบุรี 53 ถ.รถไฟ ต.คลองกระแชง อ.เมือง จ.เพชรบุรี 76000,https://www.phrachomklao.go.th/,เขต 5,ภาครัฐ,เพชรบุรี,เมืองเพชรบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลราชบุรี,Ratchaburi Hospital,0-3271-9600,85 ถนนสมบรูณ์กุล ตำบลหน้าเมือง อำเภอเมือง จังหวัดราชบุรี 70000,https://www.rajburi.org/,เขต 5,ภาครัฐ,ราชบุรี,เมืองราชบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลเจษฎา,Jessada Hospital,0-3482-1200,1200/45 ถนนเอกชัย ต.มหาชัย อ.เมือง จ.สมุทรสาคร 74000,https://jessadahospital.com/,เขต 5,เอกชน,สมุทรสาคร,เมืองสมุทรสาคร,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลกระทุ่มแบน,Krathumbaen Hospital,0-3447-0750,450/4 ถนนสุคนนิวิท ต.ตลาด อ.กระทุ่มแบน จ.สมุทรสาคร 74110,http://www.ktbhos.go.th/,เขต 5,ภาครัฐ,สมุทรสาคร,กระทุ่มแบน,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลสมเด็จพระพุทธเลิศหล้า,Somdet Phraphutthalertla Hospital,0-3471-4314,708 ถนนประสิทธิ์พัฒนา ต.แม่กลอง อ.เมือง จ.สมุทรสงคราม 75000,https://www.facebook.com/โรงพยาบาลสมเด็จพระพุทธเลิศหล้า-491556107625349/,เขต 5,ภาครัฐ,สมุทรสงคราม,เมืองสมุทรสงคราม,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลบ้านโป่ง,Banpong Hospital,0-3222-2841-46,โรงพยาบาลบ้านโป่ง อ.บ้านโป่ง จ.ราชบุรี 70110,http://www.bph.moph.go.th/,เขต 5,ภาครัฐ,ราชบุรี,บ้านโป่ง,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลโพธาราม,Photharam Hospital,0-3235-5300,29 ถ.ขนานทางรถไฟ ต.โพธาราม อ.โพธาราม จ.ราชบุรี 70120,http://www.photharamhosp.go.th/,เขต 5,ภาครัฐ,ราชบุรี,โพธาราม,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลค่ายธนะรัชต์,Fort Thanarat Hospital,0-3262-2155,125 ม.3 ต.เขาน้อย อ.ปราณบุรี จ.ประจวบคีรีขันธ์ 77160,http://hosthanarat.com/,เขต 5,ภาครัฐ,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลมะการักษ์,Makarak Hospital,0-3454-2031,47/12 หมู่ 4 ตำบล ท่ามะกา อำเภอ ท่ามะกา จังหวัด กาญจนบุรี 71120,https://www.makarak.com/,เขต 5,ภาครัฐ,กาญจนบุรี,ท่ามะกา,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลสมเด็จพระสังฆราช องค์ที่ 17,Somdet Phra Sangkharat 17th Hospital,0-3553-1077,165 ถนนบางลี่-หนองวัลย์เปรียง ตำบลสองพี่น้อง อำเภอสองพี่น้อง จังหวัดสุพรรณบุรี 72110,https://somdej17.moph.go.th/,เขต 5,ภาครัฐ,สุพรรณบุรี,สองพี่น้อง,ต่างจังหวัด,เปิดตรวจแล้ว,,
ศูนย์วิทยาศาสตร์การแพทย์ที่ 6 ชลบุรี,Regional Medical Sciences Center 6 Chonburi,0-3878-4006-7,59/2 หมู่ 3 ต.เสม็ด อ.เมือง จ.ชลบุรี 20000,http://rmsc6.dmsc.moph.go.th/,เขต 6,ภาครัฐ,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 6 ชลบุรี,The Office of Disease Prevention and Control 6 Chonburi,0-3827-1881-2,205 อาคาร 5 ม.4 ถนนพระยาสัจจา ตำบลบ้านสวน อำเภอเมือง จังหวัดชลบุรี 20000,https://ddc.moph.go.th/odpc6/,เขต 6,ภาครัฐ,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา,Queen Savang Vadhana Memorial Hospital or Somdej Phra Boromma Ratchathewi Na Si Racha Hospital,0-3832-0200,290 ถ.เจิมจอมพล ต.ศรีราชา อ.ศรีราชา จ.ชลบุรี 20110,https://somdej.or.th/,เขต 6,ภาครัฐ,ชลบุรี,ศรีราชา,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลชลบุรี,Chonburi Hospital,0-3893-1000,งานอณูชีววิทยา กลุ่มงานเทคนิคการแพทย์ 69 ม.2 ถ.สุขุมวิท ต.บ้านสวน อ.เมือง จ.ชลบุรี 20000,http://www.cbh.moph.go.th/cbh2020/,เขต 6,ภาครัฐ,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลวิภาราม อมตะนคร,Vibharam Amata Nakorn Hospital,0-3326-5599,โรงพยาบาลวิภาราม อมตะนคร ห้อง LAB ชั้น 2 700/888 หมู่ 1 ต.คลองตำหรุ อ.เมืองชลบุรี จ.ชลบุรี 20000,https://vibharamamata.com/,เขต 6,เอกชน,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลบางละมุง,Banglamung Hospital,0-3841-1551,669 หมู่ 5 ตำบลนาเกลือ อำเภอบางละมุง จังหวัดชลบุรี 20150,http://www.blm.go.th/,เขต 6,ภาครัฐ,ชลบุรี,บางละมุง,ต่างจังหวัด,เปิดตรวจแล้ว,,
ศูนย์สุขภาพอ๊อคซิแคร์ สหคลินิก,Occicare Medical Center,087-134-5688,77 หมู่ 1 ถนนสุขุมวิท ต.บ้านสวน อ.เมือง จ.ชลบุรี 20000,https://www.occicare.com/,เขต 6,เอกชน,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสมุทรปราการ,Samutprakarn Hospital,0-2701-8132,รพ.สมุทรปราการ(กลุ่มงานเทคนิคการแพทย์) เลขที่71 ถ.จักกะพาก ต.ปากน้ำ อ.เมือง จ.สมุทรปราการ 10280,http://smpkhos.go.th/,เขต 6,ภาครัฐ,สมุทรปราการ,เมืองสมุทรปราการ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลจุฬารัตน์ 3 อินเตอร์,Chularat 3 International Hospital,0-2033-2900 ,88/8 หมู่ 11 ถนนเทพารักษ์ ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,https://www.chularat3.com/,เขต 6,เอกชน,สมุทรปราการ,บางพลี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลพริ้นซ์ สุวรรณภูมิ,Princ Hospital Suvarnabhumi,0-2080-5999,โรงพยาบาล พริ้นซ์ สุวรรณภูมิ 35/2 หมู่ 12 ถนนบางนา-ตราด ตำบลบางแก้ว อำเภอบางพลี จังหวัด สมุทรปราการ 10540,https://www.princsuvarnabhumi.com/,เขต 6,เอกชน,สมุทรปราการ,บางพลี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลบางนา 5,Bangna 5 Hospital,0-2138-1155-64,รพ.บางนา5แผนกห้องปฏิบัติการ 55 หมู่ 4 ถนนเทพารักษ์ กม.11 ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,https://bangna.co.th/,เขต 6,เอกชน,สมุทรปราการ,บางพลี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลจุฬารัตน์ 9 แอร์พอร์ต,Chularat 9 Airport Hospital,0-2115-2111,90/5 หมู่ที่ 13 ถนนกิ่งแก้ว ต. ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540,https://ch9airport.com/th/,เขต 6,เอกชน,สมุทรปราการ,บางพลี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลสมเด็จพระยุพราชสระแก้ว,Somdet Phra Yupparat Srakaew Hospital,0-3724-3018-20,283 ต.สระแก้ว อ.เมือง จ.สระแก้ว 27000,http://www.skh.moph.go.th/,เขต 6,ภาครัฐ,สระแก้ว,เมืองสระแก้ว,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเกษมราษฎร์ อินเตอร์เนชั่นแนล อรัญประเทศ,Kasemrad International Hospital Aranyaprathet,0-3764-0000-99,885 หมู่ 5 ถนนสุวรรณศร ตำบลบ้านใหม่หนองไทร อำเภออรัญประเทศ จังหวัดสระแก้ว 27120,http://www.kasemrad.co.th/aranyaprathet/th/,เขต 6,เอกชน,สระแก้ว,อรัญประเทศ,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพระปกเกล้า,Prapokklao Hospital,0-3931-9666,งานอณูชีววิทยา กลุ่มงานเทคนิคการแพทย์ 38 ถ.เลียบเนิน อ. เมือง ต.ตลาด จ.จันทบุรี 22000,https://ppkhosp.go.th/,เขต 6,ภาครัฐ,จันทบุรี,เมืองจันทบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสิริเวช จันทบุรี,Sirivej Hospital Chanthaburi,0-3960-5666,151 ม.7 ถ.ตรีรัตน์ ต.จันทนิมิตร อ.เมือง จ.จันทบุรี 22000,https://www.sirivejhospital.com/,เขต 6,เอกชน,จันทบุรี,เมืองจันทบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพุทธโสธร,Phutthasothon Hospital,0-3881-4375-78,174 ถ.มรุพงษ์ ต.หน้าเมือง อ.เมือง จ.ฉะเชิงเทรา 24000,http://www.bsh.go.th/,เขต 6,ภาครัฐ,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลเกษมราษฎร์ ฉะเชิงเทรา,Kasemrad Hospital Chacheongsao,0-3881-2702-19,ห้องปฏิบัติการ ชั้นใต้ดิน ร.พ.โรงพยาบาลเกษมราษฎร์ ฉะเชิงเทรา 29 ถ.สุวินทวงศ์ ต. หน้าเมือง อ.เมือง จ.ฉะเชิงเทรา 24000,http://www.kasemrad.co.th/Chachoengsao/th/,เขต 6,เอกชน,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์ กรมแพทย์ทหารเรือ,"Somdej Pranangchao Sirikit Hospital, Naval Medical Department",0-3824-5735-69,แผนกจุลชีววิทยาคลินิก กลุ่มงานเทคนิคการแพทย์ ชั้น3 รพ.สมเด็จพระนางเจ้าสิริกิติ์ พร เลขที่ 163 หมู่ 1 ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,https://sk.nmd.go.th/,เขต 6,ภาครัฐ,ชลบุรี,สัตหีบ,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลระยอง,Rayong Hospital,0-3861-1104,"กลุ่มงานเทคนิคการแพทย์ ชั้น11 ตึกบูรพาทิศ โรงพยาบาลระยอง 
  เลขที่ 138 ถ.สุขุมวิท ต.ท่าประดู่ อ.เมือง จ.ระยอง 21000",https://rayonghospital.go.th/,เขต 6,ภาครัฐ,ระยอง,เมืองระยอง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลตราด,Trat Hospital,0-3951-1040,กลุ่มงานเทคนิคการแพทย์ รพ.ตราด 108 ถ.สุขุมวิท อ.เมือง จ.ตราด 23000,https://www.trathospital.go.th/,เขต 6,ภาครัฐ,ตราด,เมืองตราด,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเจ้าพระยาอภัยภูเบศร,Chao Phraya Abhaibhubejhr Hospital,0-3721-1088,32/7 หมู่ 12 ต.ท่างาม อ.เมือง จ ปราจีนบุรี 25000,https://www.cpa.go.th/,เขต 6,ภาครัฐ,ปราจีนบุรี,เมืองปราจีนบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
บริษัท แล็บเฮาส์ (ชลบุรี) จำกัด,"Lab House (Chonburi) Co., Ltd.",0-3828-4778,112/51 ม.1 ถ.พระยาสัจจา ต.เสม็ด อ.เมือง จ.ชลบุรี 20000,https://www.facebook.com/labhousechonburi/,เขต 6,เอกชน,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
เนชั่นแนลเฮลท์แคร์ ซิสเท็มส์ คลินิกเทคนิคการแพทย์ สาขาระยอง,"National Healthcare Systems Co., Ltd., Medical Technic Clinic, Rayong Branch",0-3892-1832  ,13/9 หมู่ 3 ตำบลเนินพระ อำเภอเมืองระยอง จังหวัดระยอง 21000,https://www.nhealth-asia.com/th/,เขต 6,เอกชน,ระยอง,เมืองระยอง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
เนชั่นแนลเฮลท์แคร์ ซิสเท็มส์ คลินิกเทคนิคการแพทย์ สาขาพัทยา,"National Healthcare Systems Co., Ltd., Medical Technic Clinic, Pattaya Branch",0-3825-9999 ,301/1 หมู่6 ถนนสุขุมวิท? ต.นาเกลือ? อ.บางละมุง? จ.ชลบุรี? 20150,https://www.nhealth-asia.com/th/,เขต 6,เอกชน,ชลบุรี,บางละมุง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลจุฬารัตน์ระยอง,Chularat Rayong Hospital,0-3886-0890,65/28 ถนนจันทอุดม ต.ท่าประดู่ อ.เมือง จ.ระยอง 21000,http://www.chularatrayong.com/,เขต 6,เอกชน,ระยอง,เมืองระยอง,ต่างจังหวัด,เปิดตรวจแล้ว,,
บริษัท เอเชีย แล็บบอราทอรี่ เซ็นเตอร์ จำกัด,"Asia Laboratory Center Co.,Ltd.",086 319 8683,119/110 หมู่ 8 ถนนศรีนครินทร์ ต.บางเมือง อ.เมือง จ.สมุทรปราการ 10270,https://www.facebook.com/บริษัท-เอเชีย-แล็บบอราทอรี่-เซ็นเตอร์-จำกัด-740708839704182/,เขต 6,เอกชน,สมุทรปราการ,เมืองสมุทรปราการ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลรามาธิบดีจักรีนฤบดินทร์,Ramadhibodi Chakri Naruebodindra Hospital ,0-2839-6000,111 หมู่ที่ 14 ถนนเลียบคลองส่งน้ำสุวรรณภูมิ ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,https://med.mahidol.ac.th/cnmi/,เขต 6,ภาครัฐ,สมุทรปราการ,บางพลี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
สถาบันราชประชาสมาสัย,Rajprachasamasia Institute,0-2385-9135-7,15 หมู่ 7 ถนนปู่เจ้าสมิงพราย ต.บางหญ้าแพรก อ.บางหญ้าแพรก จังหวัดสมุทรปราการ 10130,https://ddc.moph.go.th/rpsi/,เขต 6,ภาครัฐ,สมุทรปราการ,พระประแดง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลเมืองสมุทรปากน้ำ,Muangsamut Paknam Hospital,0-2173-7766-75,เลขที่ 156 ถนนเทศบาล 12 ต.ปากน้ำ อ.เมือง จ.สมุทรปราการ 10270,http://www.muangsamut.net/,เขต 6,เอกชน,สมุทรปราการ,เมืองสมุทรปราการ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลเอกชล 2,Aikchol Hospital 2,0-3893-8888,31/2 หมู่ 3 ถนน อ่างศิลา ต.เสม็ด อ.เมืองชลบุรี จ.ชลบุรี,http://www.aikchol.com/,เขต 6,เอกชน,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลบางปะกอกสมุทรปราการ,Bangpakok Hospital Samutprakan,0-2109-3222,99 หมู่ 7 ต.บางครุ อ.พระประแดง จ.สมุทรปราการ 10130,https://www.bpksamutprakan.com/,เขต 6,เอกชน,สมุทรปราการ,พระประแดง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลศิครินทร์ สมุทรปราการ,Sikarin Samut PrakanHospital,0-2323-2995,999/23-29 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมือง จังหวัดสมุทรปราการ 10280,https://www.sikarin.com/rattarin,เขต 6,เอกชน,สมุทรปราการ,เมืองสมุทรปราการ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลบางพลี,Bangplee Hospital,0-2752-4900-1,88/1 ม.8 ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,https://www.bph.go.th/,เขต 6,ภาครัฐ,สมุทรปราการ,บางพลี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลเกษมราษฎร์ ปราจีนบุรี,Kasemrad Prachinburi Hospital ,0-3762-7000,766 หมู่ 10 ตำบล ท่าตูม อำเภอศรีมหาโพธิ ปราจีนบุรี 25140,http://www.kasemrad.co.th/prachinburi/th/,เขต 6,เอกชน,ปราจีนบุรี,ศรีมหาโพธิ,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลจุฬารัตน์ 11 อินเตอร์,Chularat 11 International Hospital,0-3850-0300,185/1 หมู่ 1 ตำบลบางวัว อำเภอบางปะกง จังหวัดฉะเชิงเทรา 24130,http://www.chularat11.com/,เขต 6,เอกชน,ฉะเชิงเทรา,บางปะกง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
หน่วยกามโรคและโรคเอดส์ที่ 6.1  อำเภอบางละมุง (ศูนย์พัทยารักษ์) สำนักงานป้องกันควบคุมโรคที่ 6 จังหวัดชลบุรี,"Veneral Disease and Aids unit 6, Amphoe Banglamung (Patta+yarak Health Unit)",0-3827-1881-2,205 หมู่ 4 ถนน พระยาสัจจา ตำบล บ้านสวน อำเภอเมืองชลบุรี ชลบุรี 20000,https://ddc.moph.go.th/odpc6/,เขต 6,ภาครัฐ,ชลบุรี,เมืองชลบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลอรัญประเทศ,Aranyaprathet Hospital,0-3723-3033-6,4 ถนนมหาดไทย ต.อรัญประเทศ อ.อรัญประเทศ จ.สระแก้ว 27120,http://www.aranhos.go.th/,เขต 6,ภาครัฐ,สระแก้ว,อรัญประเทศ,ต่างจังหวัด,เปิดตรวจแล้ว,,
บริษัทเนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด สาขาโรงพยาบาลสมิติเวช ศรีราชา,"National Healthcare Systems Co., Ltd., Medical Technic Clinic, Samitivej Sriracha Branch",0-3832-0300,8 ซอยแหลมเกตุ ถนนเจิมจอมพล ตำบลศรีราชา อำเภอศรีราชา จังหวัดชลบุรี 20110,https://www.samitivejsriracha.com/,เขต 6,เอกชน,ชลบุรี,ศรีราชา,ต่างจังหวัด,เปิดตรวจแล้ว,,
บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด สาขา ประจำโรงพยาบาล กรุงเทพจันทบุรี,"National Healthcare Systems Co., Ltd., Medical Technic Clinic, Bangkok Hospital Chanthaburi Branch",0-3931-9888 ,25/14 ถนนท่าหลวง ตำบลวัดใหม่ อำเภอเมือง จังหวัดจันทบุรี 22000,https://www.chanthaburihospital.com/,เขต 6,เอกชน,จันทบุรี,เมืองจันทบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลสินแพทย์ เทพารักษ์,Synphaet Hospital Theparak,0-2761-5999,9/99 ม.6 ถ.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,https://www.synphaet.co.th/theparak/,เขต 6,เอกชน,สมุทรปราการ,เมืองสมุทรปราการ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
